subject;predicate;behaviors
12;small;grasp,hold,look
12;soft;grasp,press
12;round;grasp,hold,lift,look
12;heavy;hold,lift,push
12;squishy;hold,look,press
12;orange-topped;look
12;blue;look
12;container;hold,lift,lower
12;purple;look
12;tube;grasp,hold,lift,look,push
12;red;look
12;can;grasp,hold,lift,lower
12;full;drop,lift,lower
12;water;drop,lift,lower
12;cylindrical;hold,look
12;tub;hold,look
12;colored;look
12;thing;drop,grasp,hold,lift,look,lower,press,push
12;beans;grasp,look
12;narrow;look
12;shiny;hold,lift,lower
12;hollow;hold,lift,lower,push
12;open;look
12;spraycan;look,press
12;silent;push
12;top;look
12;spiky;grasp,look,press,push
12;tiny;look
12;plastic;hold,look,press
12;white;look
12;empty;drop,hold,lift,lower
12;wide;look
12;inside;look
12;cap;hold,lift,look
12;rectangular;grasp,look
12;thin;hold,look
12;cylinder;hold,look
12;lid;look
12;metallic;grasp,hold,look,press,push
12;prism;grasp,look
12;green;look
12;roll;look,push
12;circular;hold,look
12;circles;look
12;pink;look
12;canister;hold,lift,look,lower,press,push
12;styrofoam;drop,lift,lower,press
12;medium-sized;hold,look
12;tall;look
12;short;look
12;liquid;drop,lift,lower
12;light;grasp,hold,lift,lower
12;clear;look
12;metal;grasp,hold,lift,look,lower,press
12;object;grasp,hold,lift,look,lower,press,push
12;aerosol;grasp,lift,press
12;bottle;grasp,hold,look
12;pineapple;grasp,hold,look
13;text;look
13;neon;look
13;yellow;look
13;bright;look
13;paper;drop,grasp,hold,lift,look
13;crayon;drop,grasp,hold,lift,push
13;rough;grasp,hold
13;pencil-shaped;look
13;cup;grasp,hold,look
13;transparent;look
13;half-full;look
13;black;look
13;orange;look
13;rectangle;look
13;brown;look
13;coffee;grasp,hold,look
13;fat;look,push
13;chips;drop,hold,lift,look,push
13;silver;drop,grasp,hold,lift,look,lower,press,push
13;rattles;drop,grasp,hold,lower,press,push
13;gray;look
13;aluminum;grasp,hold,lift,look,lower,push
13;large;drop,hold,look,push
13;small;drop,hold,look,push
13;soft;grasp,hold
13;round;look,push
13;heavy;drop,hold,lift,push
13;squishy;grasp
13;orange-topped;look
13;blue;look
13;container;drop,hold,look
13;purple;look
13;tube;drop,grasp,hold,lift,look
13;red;look
13;can;drop,grasp,hold,lift,look,lower,press,push
13;full;drop,hold,look,push
13;water;look
13;cylindrical;hold,lift,look,push
13;tub;hold,lift,look,push
13;colored;look
13;thing;drop,grasp,hold,lift,look,lower,press,push
13;beans;drop,hold,look,push
13;narrow;look
13;shiny;look
13;hollow;look
13;open;look
13;spraycan;hold,lift,look,press
13;silent;drop,lift
13;top;grasp,hold,look
13;spiky;grasp,hold,look
13;tiny;look,push
13;plastic;hold,look
13;white;look
13;empty;look
13;wide;grasp,hold,look
13;inside;look
13;cap;grasp,look
13;rectangular;look
13;thin;grasp,look
13;cylinder;look
13;lid;grasp,hold,push
13;metallic;drop,grasp,hold,lift,look,lower,press,push
13;prism;drop,grasp,hold,lift,look,lower,press,push
13;green;look
13;roll;drop,grasp,hold,press,push
13;circular;look
13;circles;look
13;pink;look
13;canister;grasp,hold,look,push
13;styrofoam;grasp,hold,look
13;medium-sized;look
13;tall;hold,look
13;short;hold,look
13;liquid;drop,look
13;light;look
13;clear;look
13;metal;drop,grasp,hold,lift,look,lower,press,push
13;object;drop,grasp,hold,lift,look,lower,press,push
13;aerosol;look
13;bottle;grasp,hold,look,push
13;pineapple;drop,grasp,hold,lift,look,push
